Symbol,Name,Description,Exchange,Sector,Industry,MarketCapitalization,SharesFloatAAC,Ares Acquisition Corporation,Ares Acquisition Corporation focuses on effecting a merger  stock exchange  asset acquisition  stock purchase  reorganization or similar business combination with one or more businesses. The company is headquartered in New York  New York.,NYSE,Real Estate & Construction,Blank Checks,1216250000,199975000
AAL,American Airlines Group Inc,American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth  Texas.,NASDAQ,Energy & Transportation,Air Transportation  Scheduled,13162828000,642382000
AAPL,Apple Inc,Apple Inc. is an American multinational technology company that specializes in consumer electronics  computer software  and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and  since January 2021  the world's most valuable company. As of 2021  Apple is the world's fourth-largest PC vendor by unit sales  and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies  along with Amazon  Google  Microsoft  and Facebook.,NASDAQ,Technology,Electronic Computers,2.38E+12,16513305000
